City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
58,Kaduna,10.5222,7.4383,78.33,59,81,2.24,NG,2021-10-02 19:01:26
59,Arraial Do Cabo,-22.9661,-42.0278,82.26,57,0,11.5,BR,2021-10-02 19:03:24
60,Kalmunai,7.4167,81.8167,79.7,80,27,3.78,LK,2021-10-02 19:03:25
61,Rikitea,-23.1203,-134.9692,72.48,74,5,24.0,PF,2021-10-02 19:03:25
62,East London,-33.0153,27.9116,57.43,57,89,28.86,ZA,2021-10-02 19:03:25
63,Bredasdorp,-34.5322,20.0403,49.28,64,100,4.09,ZA,2021-10-02 19:03:26
64,Vestmanna,62.1564,-7.1664,47.32,93,75,14.97,FO,2021-10-02 19:03:26
65,Namibe,-15.1961,12.1522,61.54,84,4,5.68,AO,2021-10-02 19:03:27
66,Kapuskasing,49.4169,-82.4331,53.69,94,90,3.44,CA,2021-10-02 18:59:02
67,Chuy,-33.6971,-53.4616,64.24,58,0,7.94,UY,2021-10-02 19:03:27
68,Cape Town,-33.9258,18.4232,55.09,57,85,12.48,ZA,2021-10-02 19:03:27
69,Paka,4.6374,103.4368,77.31,82,100,3.76,MY,2021-10-02 19:03:28
70,Klyuchi,52.2667,79.1667,36.32,74,100,7.67,RU,2021-10-02 19:03:28
71,Pacific Grove,36.6177,-121.9166,90.16,47,0,6.58,US,2021-10-02 19:03:28
72,Avarua,-21.2078,-159.775,73.45,88,75,8.05,CK,2021-10-02 19:03:28
73,Esperance,-33.8667,121.9,56.44,74,42,24.96,AU,2021-10-02 19:03:29
74,Pevek,69.7008,170.3133,24.3,65,19,21.25,RU,2021-10-02 19:03:29
75,Grindavik,63.8424,-22.4338,43.9,81,75,27.63,IS,2021-10-02 19:03:30
76,Sarahan,31.5167,77.8,57.29,91,30,0.22,IN,2021-10-02 19:03:30
77,Payo,-3.7508,103.6372,71.89,95,95,2.26,ID,2021-10-02 19:03:30
78,Makakilo City,21.3469,-158.0858,82.72,71,40,8.05,US,2021-10-02 19:03:30
79,Bethel,41.3712,-73.414,75.58,60,100,1.01,US,2021-10-02 18:59:21
80,Oranjemund,-28.55,16.4333,56.53,74,0,20.38,NA,2021-10-02 19:03:31
81,Busselton,-33.65,115.3333,50.09,62,100,16.6,AU,2021-10-02 19:03:31
82,Weligama,5.9667,80.4167,77.43,89,41,6.93,LK,2021-10-02 19:02:39
83,Kaseda,31.4167,130.3167,71.85,87,2,5.77,JP,2021-10-02 19:03:32
84,Hithadhoo,-0.6,73.0833,82.69,76,7,11.25,MV,2021-10-02 18:59:06
85,Victoria,22.2855,114.1577,86.32,80,63,1.01,HK,2021-10-02 19:00:09
86,Meulaboh,4.1363,96.1285,76.33,88,100,2.93,ID,2021-10-02 19:03:32
87,Santa Cruz Cabralia,-16.2781,-39.0247,81.1,67,0,15.35,BR,2021-10-02 19:01:23
88,Atuona,-9.8,-139.0333,78.12,74,41,22.68,PF,2021-10-02 19:03:32
89,Upernavik,72.7868,-56.1549,29.82,78,34,4.74,GL,2021-10-02 18:58:37
90,Thompson,55.7435,-97.8558,64.51,41,61,4.41,CA,2021-10-02 19:03:33
91,Druzhba,52.0428,33.9453,43.45,72,0,7.34,UA,2021-10-02 19:03:33
92,Salalah,17.0151,54.0924,80.15,83,100,7.43,OM,2021-10-02 19:00:31
93,Tiksi,71.6872,128.8694,24.55,89,50,14.74,RU,2021-10-02 19:03:34
94,Ahuimanu,21.4447,-157.8378,83.91,69,75,11.5,US,2021-10-02 19:03:34
95,Yarada,17.65,83.2667,82.72,94,20,2.3,IN,2021-10-02 19:03:34
96,Salta,-24.7859,-65.4117,85.57,35,2,10.0,AR,2021-10-02 19:03:35
97,Punta Arenas,-53.15,-70.9167,48.31,61,75,19.57,CL,2021-10-02 19:03:35
98,Bluff,-46.6,168.3333,50.81,85,100,5.23,NZ,2021-10-02 19:03:35
99,San Quintin,30.4833,-115.95,81.14,38,100,7.11,MX,2021-10-02 19:03:36
100,Imeni Poliny Osipenko,52.4201,136.4853,33.22,66,12,2.68,RU,2021-10-02 19:03:36
101,Hobart,-42.8794,147.3294,53.46,98,90,3.0,AU,2021-10-02 19:00:10
102,Saint-Nazaire,47.2833,-2.2,64.67,95,75,12.66,FR,2021-10-02 19:03:37
103,Sorland,67.667,12.6934,52.54,85,100,7.72,NO,2021-10-02 18:59:28
104,Atambua,-9.1061,124.8925,73.09,85,79,2.08,ID,2021-10-02 19:03:37
105,Kropotkin,45.4375,40.5756,52.59,66,0,16.75,RU,2021-10-02 19:03:37
106,New Norfolk,-42.7826,147.0587,53.1,77,99,2.01,AU,2021-10-02 19:03:38
107,Syracuse,37.0881,15.2792,71.65,68,71,7.58,IT,2021-10-02 19:03:38
108,Dambovicioara,45.45,25.2333,43.65,80,0,3.98,RO,2021-10-02 19:03:39
109,Idukki,9.85,76.9667,69.6,97,100,1.81,IN,2021-10-02 19:03:39
110,Tual,-5.6667,132.75,80.64,73,19,6.96,ID,2021-10-02 19:03:39
111,Bengkulu,-3.8004,102.2655,75.09,92,52,4.9,ID,2021-10-02 18:58:46
112,Seydisehir,37.4193,31.8453,55.4,46,2,3.67,TR,2021-10-02 19:03:40
113,Kumher,27.3167,77.3667,84.43,65,5,5.86,IN,2021-10-02 19:03:40
114,Kapaa,22.0752,-159.319,81.12,74,75,1.99,US,2021-10-02 19:03:40
115,Ambulu,-8.345,113.6058,75.9,83,100,2.95,ID,2021-10-02 19:01:53
116,Jamestown,42.097,-79.2353,74.52,49,1,5.75,US,2021-10-02 19:03:41
117,Concordia,-31.393,-58.0209,78.87,54,75,11.99,AR,2021-10-02 19:03:41
118,Nevsehir,38.9167,34.6667,54.61,51,0,4.61,TR,2021-10-02 19:03:04
119,Lasa,46.6166,10.7002,57.11,93,78,5.28,IT,2021-10-02 19:03:42
120,Vetlanda,57.4289,15.0776,52.63,92,100,6.93,SE,2021-10-02 19:03:42
121,Puerto Narino,-3.7703,-70.3831,91.35,45,64,2.55,CO,2021-10-02 19:03:42
122,Mogadishu,2.0371,45.3438,78.17,87,100,15.46,SO,2021-10-02 19:03:10
123,Lakes Entrance,-37.8811,147.981,53.58,95,99,7.29,AU,2021-10-02 19:03:43
124,Golspie,57.9727,-3.978,51.94,91,100,5.35,GB,2021-10-02 19:03:43
125,Coquimbo,-29.9533,-71.3436,65.93,48,0,17.27,CL,2021-10-02 19:03:16
126,Sorokino,53.75,84.9167,33.06,91,100,11.81,RU,2021-10-02 19:03:43
127,Copiapo,-27.3667,-70.3333,60.49,24,0,9.62,CL,2021-10-02 18:59:38
128,Dauriya,49.9333,116.8667,36.7,66,100,14.97,RU,2021-10-02 19:03:44
129,Luderitz,-26.6481,15.1594,58.8,67,0,26.75,NA,2021-10-02 19:03:44
130,Liverpool,53.4106,-2.9779,54.68,87,75,1.99,GB,2021-10-02 18:58:57
131,Sechura,-5.5569,-80.8222,75.67,56,47,16.91,PE,2021-10-02 19:03:44
132,Leningradskiy,69.3833,178.4167,13.05,75,19,12.71,RU,2021-10-02 19:03:45
133,The Valley,18.217,-63.0578,86.14,70,20,18.41,AI,2021-10-02 19:03:45
134,Gamba,-2.65,10.0,76.53,84,100,6.89,GA,2021-10-02 19:03:45
135,Taoudenni,22.6783,-3.9836,98.4,8,6,5.82,ML,2021-10-02 19:03:46
136,Anchorage,61.2181,-149.9003,36.57,87,90,1.01,US,2021-10-02 19:03:46
137,Zwedru,6.0667,-8.1281,72.7,97,100,3.51,LR,2021-10-02 19:03:46
138,Ribeira Grande,38.5167,-28.7,73.8,83,75,12.66,PT,2021-10-02 19:03:47
139,Carnarvon,-24.8667,113.6333,59.07,82,63,8.05,AU,2021-10-02 19:03:47
140,Arman,59.7,150.1667,37.24,91,70,7.63,RU,2021-10-02 19:03:47
141,Hofn,64.2539,-15.2082,45.88,77,100,19.19,IS,2021-10-02 19:01:20
142,Saint-Philippe,-21.3585,55.7679,72.95,79,40,13.89,RE,2021-10-02 19:03:48
143,Honiara,-9.4333,159.95,78.03,87,99,1.12,SB,2021-10-02 19:03:48
144,Chokurdakh,70.6333,147.9167,4.8,98,40,3.83,RU,2021-10-02 19:03:48
145,Kavieng,-2.5744,150.7967,81.19,72,100,4.68,PG,2021-10-02 19:03:49
146,Yellowknife,62.456,-114.3525,51.42,79,100,8.99,CA,2021-10-02 19:01:41
147,Garissa,-0.4536,39.6401,79.38,61,36,21.7,KE,2021-10-02 19:03:49
148,Aksarka,66.5606,67.7975,31.96,84,96,11.45,RU,2021-10-02 19:03:50
149,Hilo,19.7297,-155.09,80.62,80,100,5.5,US,2021-10-02 18:59:44
150,Richards Bay,-28.783,32.0377,65.89,87,100,7.25,ZA,2021-10-02 19:03:02
151,Faanui,-16.4833,-151.75,79.45,67,5,16.78,PF,2021-10-02 19:03:50
