City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Vao,NC,-22.6667,167.4833,72.09,90,3,1.68,clear sky
80,Buchanan,LR,5.8808,-10.0467,78.76,88,90,4.59,overcast clouds
81,Puerto Ayora,EC,-0.7393,-90.3518,78.76,78,32,11.34,scattered clouds
82,Cabedelo,BR,-6.9811,-34.8339,81.27,77,4,9.51,clear sky
83,Hobart,AU,-42.8794,147.3294,54.1,93,75,0.0,broken clouds
84,Cape Town,ZA,-33.9258,18.4232,56.08,60,20,10.36,few clouds
85,Scarborough,GB,54.2797,-0.4044,53.53,82,7,5.01,clear sky
86,Guerrero Negro,MX,27.9769,-114.0611,86.68,40,75,10.56,broken clouds
87,Busselton,AU,-33.65,115.3333,53.62,65,96,6.02,overcast clouds
88,Atbasar,KZ,51.8,68.3333,35.11,81,99,11.59,overcast clouds
89,Hua Hin,TH,12.5707,99.9588,82.99,73,99,5.88,light rain
90,Namatanai,PG,-3.6667,152.4333,80.96,76,97,5.48,overcast clouds
91,Chara,RU,56.9064,118.2631,28.09,70,44,1.9,scattered clouds
92,Ulvik,NO,60.5672,6.9187,57.69,82,84,7.05,broken clouds
93,San Juan Bautista,PE,-14.0108,-75.7358,61.43,44,19,12.08,few clouds
94,Omboue,GA,-1.5746,9.2618,76.69,84,100,7.31,overcast clouds
95,Oussouye,SN,12.485,-16.5469,84.38,83,98,4.27,overcast clouds
96,Husavik,IS,66.0449,-17.3389,44.51,98,100,20.58,overcast clouds
97,Vesele,UA,47.0148,34.915,49.75,48,22,9.31,few clouds
98,Peniche,PT,39.3558,-9.3811,61.61,85,98,10.49,overcast clouds
99,Butaritari,KI,3.0707,172.7902,82.44,67,99,17.69,overcast clouds
100,Saldanha,ZA,-33.0117,17.9442,51.85,73,0,25.01,clear sky
101,Lahaina,US,20.8783,-156.6825,84.2,75,0,7.36,clear sky
102,Aklavik,CA,68.2191,-135.0107,34.52,96,100,17.09,overcast clouds
103,Huicungo,PE,-7.2833,-76.8,89.91,49,78,2.82,broken clouds
104,Hervey Bay,AU,-25.2986,152.8535,77.04,91,10,16.24,clear sky
105,Port Hardy,CA,50.6996,-127.4199,51.98,76,75,11.5,light rain
106,Tuktoyaktuk,CA,69.4541,-133.0374,33.89,87,100,21.41,overcast clouds
107,Havre-Saint-Pierre,CA,50.2334,-63.5986,53.96,62,75,8.05,broken clouds
108,Bilibino,RU,68.0546,166.4372,13.26,96,91,3.62,overcast clouds
109,Vila,PT,42.0304,-8.1588,49.93,86,51,1.54,broken clouds
110,Comarapa,BO,-17.9,-64.4833,66.22,72,56,6.69,broken clouds
111,Praya,CV,14.9215,-23.5087,81.14,74,20,9.22,few clouds
112,Marsa Matruh,EG,31.3525,27.2453,71.8,56,20,11.5,few clouds
113,Caninde,BR,-4.3589,-39.3117,85.24,50,10,10.09,clear sky
114,Protvino,RU,54.8664,37.2178,43.52,75,100,4.76,overcast clouds
115,Fare,PF,-16.7,-151.0167,78.39,71,18,10.07,few clouds
116,Mantua,IT,45.1667,10.7833,70.75,83,80,5.99,broken clouds
117,Lebu,CL,-37.6167,-73.65,51.53,72,0,21.72,clear sky
118,Port Alfred,ZA,-33.5906,26.891,55.62,76,35,6.33,light rain
119,Beira,MZ,-19.8436,34.8389,78.89,89,75,6.91,broken clouds
120,Muhos,FI,64.808,25.9931,51.58,77,96,14.38,overcast clouds
121,Iberia,US,29.9502,-91.7507,88.99,58,40,3.44,scattered clouds
122,Moose Factory,CA,51.2585,-80.6094,59.0,63,17,6.91,few clouds
123,Huntsville,US,34.7304,-86.5861,73.71,89,90,1.99,overcast clouds
124,Bambous Virieux,MU,-20.3428,57.7575,73.22,83,75,11.5,light rain
125,Kavieng,PG,-2.5744,150.7967,81.5,73,100,4.21,overcast clouds
126,Airai,TL,-8.9266,125.4092,58.95,64,12,1.28,few clouds
127,Mundra,IN,22.85,69.7333,81.82,83,13,10.33,few clouds
128,Palmer,US,42.1584,-72.3287,72.64,75,90,0.0,light rain
129,Qingyuan,CN,23.7,113.0333,78.78,93,7,0.6,clear sky
130,Lavrentiya,RU,65.5833,-171.0,25.95,69,14,2.28,few clouds
131,Poum,NC,-20.2333,164.0167,74.88,85,0,11.3,clear sky
132,Elko,US,41.0002,-115.5012,78.75,12,0,8.01,clear sky
133,Puerto Maldonado,PE,-12.6,-69.1833,93.6,46,20,6.91,few clouds
134,Longyearbyen,SJ,78.2186,15.6401,37.24,93,75,2.3,broken clouds
135,Sola,VU,-13.8833,167.55,79.45,78,32,7.9,scattered clouds
136,Bulgan,MN,48.8125,103.5347,30.11,83,42,1.81,scattered clouds
137,Porosozero,RU,62.7191,32.727,41.85,93,0,6.78,clear sky
138,Saint-Philippe,RE,-21.3585,55.7679,71.22,84,45,14.72,light rain
139,Malpura,IN,26.2833,75.3833,80.62,71,17,8.61,few clouds
140,Touros,BR,-5.1989,-35.4608,83.3,73,8,15.77,clear sky
141,Robertsport,LR,6.7533,-11.3686,79.97,85,71,7.47,broken clouds
142,Corowa,AU,-36.0333,146.3833,53.33,93,79,9.86,broken clouds
143,Orzhytsya,UA,49.7918,32.7012,45.97,59,1,7.38,clear sky
144,Hambantota,LK,6.1241,81.1185,77.34,100,0,5.75,clear sky
145,Palana,RU,59.1167,159.9667,37.35,91,100,31.74,light rain
146,Iskateley,RU,67.6803,53.1512,38.77,92,86,10.71,overcast clouds
147,Berlevag,NO,70.8578,29.0864,53.55,58,0,37.98,clear sky
148,Vardo,NO,70.3705,31.1107,51.55,77,97,27.54,overcast clouds
149,San Jeronimo,PE,-11.9472,-75.2829,64.67,43,78,6.33,broken clouds
150,Makakilo City,US,21.3469,-158.0858,82.29,75,90,6.91,light intensity drizzle
151,Kolpashevo,RU,58.3131,82.9089,33.3,96,100,6.98,overcast clouds
152,Danilov,RU,58.1908,40.1717,42.89,82,100,3.04,overcast clouds
153,Vanimo,PG,-2.6741,141.3028,76.73,85,97,3.13,overcast clouds
154,Umm Lajj,SA,25.0213,37.2685,81.9,57,5,9.19,clear sky
155,Vestmannaeyjar,IS,63.4427,-20.2734,46.63,82,71,4.25,broken clouds
156,Tacuarembo,UY,-31.7333,-55.9833,54.81,69,99,14.18,overcast clouds
157,Khatanga,RU,71.9667,102.5,18.45,94,99,11.83,overcast clouds
158,Sept-Iles,CA,50.2001,-66.3821,54.12,64,75,5.01,broken clouds
159,Pisco,PE,-13.7,-76.2167,66.25,68,0,18.41,clear sky
160,Duvan,RU,55.695,57.9024,29.89,77,72,4.74,broken clouds
161,Cabo San Lucas,MX,22.8909,-109.9124,89.06,62,20,10.36,few clouds
162,Pevek,RU,69.7008,170.3133,23.76,91,100,5.84,overcast clouds
163,Carnarvon,AU,-24.8667,113.6333,59.07,82,0,6.91,clear sky
164,Nanortalik,GL,60.1432,-45.2371,39.16,80,0,5.37,clear sky
165,Pietarsaari,FI,63.65,22.6833,54.0,72,100,5.01,overcast clouds
166,Tual,ID,-5.6667,132.75,80.65,67,98,7.63,overcast clouds
167,Loubomo,CG,-4.1997,12.6739,73.31,85,34,6.82,scattered clouds
168,Nara,JP,34.6851,135.8049,70.97,77,2,2.28,clear sky
169,Talnakh,RU,69.4865,88.3972,16.72,97,97,1.05,overcast clouds
170,Vestmanna,FO,62.1564,-7.1664,47.32,100,90,39.12,mist
171,Kruisfontein,ZA,-34.0033,24.7314,52.88,79,41,5.37,scattered clouds
172,Sisimiut,GL,66.9395,-53.6735,34.92,75,18,5.61,few clouds
173,Lubbock,US,33.6001,-101.8338,80.38,30,20,1.01,few clouds
174,Chokurdakh,RU,70.6333,147.9167,20.82,96,98,8.88,light snow
175,Lorengau,PG,-2.0226,147.2712,80.31,80,91,5.32,overcast clouds
176,Souillac,MU,-20.5167,57.5167,73.36,83,75,11.5,broken clouds
177,Muswellbrook,AU,-32.2667,150.9,60.33,62,1,4.38,clear sky
178,Monterey,US,36.2505,-121.2516,92.26,17,0,4.54,clear sky
179,Belmonte,BR,-15.8631,-38.8828,80.6,78,7,13.62,clear sky
180,Hasaki,JP,35.7333,140.8333,64.8,82,0,8.57,clear sky
181,Dikson,RU,73.5069,80.5464,35.04,98,100,24.61,light rain
182,Goldsboro,US,35.3849,-77.9928,85.44,45,20,6.91,few clouds
183,Sinnamary,GF,5.3833,-52.95,82.71,72,30,11.9,scattered clouds
184,Taoudenni,ML,22.6783,-3.9836,96.84,9,87,10.65,overcast clouds
185,Chateaubelair,VC,13.2833,-61.25,84.81,78,40,13.8,scattered clouds
186,Bom Jesus Do Itabapoana,BR,-21.1339,-41.6797,84.47,56,78,2.44,broken clouds
187,Oga,IT,46.4631,10.347,50.68,94,98,6.53,overcast clouds
188,Shibetsu,JP,43.659,145.132,61.25,84,96,19.98,overcast clouds
189,Calama,CL,-22.4667,-68.9333,73.89,3,0,24.16,clear sky
190,Beyneu,KZ,45.3167,55.2,52.65,32,94,7.34,overcast clouds
191,Maceio,BR,-9.6658,-35.7353,81.84,78,0,10.36,clear sky
192,Camacari,BR,-12.6975,-38.3242,80.37,77,14,8.57,few clouds
193,Jega,NG,12.2175,4.3792,85.26,50,3,7.78,clear sky
