City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
131,Poum,NC,74.88,clear sky,-20.2333,164.0167,Gîte kajeon
132,Elko,US,78.75,clear sky,41.0002,-115.5012,
135,Sola,VU,79.45,scattered clouds,-13.8833,167.55,Leumerus Bungalows
138,Saint-Philippe,RE,71.22,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
139,Malpura,IN,80.62,few clouds,26.2833,75.3833,Tak House cum Legal Advisory Chambers
140,Touros,BR,83.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
141,Robertsport,LR,79.97,broken clouds,6.7533,-11.3686,Kwepunha Retreat
144,Hambantota,LK,77.34,clear sky,6.1241,81.1185,Bungalow 63
150,Makakilo City,US,82.29,light intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
153,Vanimo,PG,76.73,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
154,Umm Lajj,SA,81.9,clear sky,25.0213,37.2685,Moon light Furnished Units
159,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
161,Cabo San Lucas,MX,89.06,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
166,Tual,ID,80.65,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
167,Loubomo,CG,73.31,scattered clouds,-4.1997,12.6739,La Dolisienne
168,Nara,JP,70.97,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
173,Lubbock,US,80.38,few clouds,33.6001,-101.8338,La Quinta Inn by Wyndham Lubbock - Downtown Civic Center
175,Lorengau,PG,80.31,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
176,Souillac,MU,73.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
179,Belmonte,BR,80.6,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
182,Goldsboro,US,85.44,few clouds,35.3849,-77.9928,Hampton Inn Goldsboro
183,Sinnamary,GF,82.71,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
185,Chateaubelair,VC,84.81,scattered clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
186,Bom Jesus Do Itabapoana,BR,84.47,broken clouds,-21.1339,-41.6797,Pitucão Hotel e Restaurante
189,Calama,CL,73.89,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
191,Maceio,BR,81.84,clear sky,-9.6658,-35.7353,Poutur Pousada
192,Camacari,BR,80.37,few clouds,-12.6975,-38.3242,Hotel Cambuci
193,Jega,NG,85.26,clear sky,12.2175,4.3792,ALH. Nasiru Ibrahim
194,Sal Rei,CV,81.16,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
